"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"traveler:WATCH_GIVER1","I will not leave without money.","Paramı almadan hiçbir yere gitmiyorum."
"traveler:WATCH_GIVER1","You ruin my good watch.","Güzelim saati ne hale getirmişsin."
"traveler:WATCH_GIVER1","Give back my money!","Paramı geri ver!"
"traveler:WATCH_GIVER1","Where is my watch?","Saatim nerede?"
"traveler:WATCH_GIVER1","@I sold it.","@Sattım."
"traveler:WATCH_GIVER1","What!","Ne?"
"traveler:WATCH_GIVER1","I give you watch to hold.","Emanet olarak vermiştim."
"traveler:WATCH_GIVER1","Put trust in you!","Sana güvenmiştim!"
"traveler:WATCH_GIVER1","Watch was gift from cousin.","Kuzenim hediye etmişti."
"traveler:WATCH_GIVER1","I hope you got good money for it.","Kesin çok para almışsındır."
"traveler:WATCH_GIVER1","Damn Arstotzkan crook.","Arstotzka'lı şerefsiz."
"traveler:ARSKICKER0","Hey man.","Hey dostum."
"traveler:ARSKICKER0","I lost id card.","Kimliğimi kaybettim."
"traveler:ARSKICKER0","I think someone stole it from locker room.","Sanırım biri dolabımdan çaldı."
"traveler:ARSKICKER0","But we won match!","Ama maçı kazandık!"
"traveler:ARSKICKER0","Can't wait to get home.~","Eve gitmeye can atıyorum.~"
"traveler:ARSKICKER0","I have carried this for years, maybe you take it.","Bunu yıllarca taşıdım, belki de sen almalısın."
"traveler:ARSKICKER0","@Your Arstotzkan id card is missing.","@Arstotzka kimliğin yok."
"traveler:ARSKICKER0","I know man. I told you.","Biliyorum dostum söyledim ya."
"traveler:ARSKICKER0","It was stolen.","Çalındı."
"traveler:ARSKICKER0","C'mon let me through.","Bırak geçeyim."
"traveler:ARSKICKER0","Thanks bud, is good to be home!","Sağol dostum, eve dönmek güzel!"
"traveler:ARSKICKER0","Hey bullshit!","Saçmalık!"
"traveler:ARSKICKER0","I gave you pennant even!","Sana flama bile verdim!"
"traveler:ARSKICKER0","Gonna tell coach about this crap.","Koça bu saçmalığı anlatacağım."
"traveler:ARSKICKER1","Hi again.","Tekrar merhaba."
"traveler:ARSKICKER1","Remember me?","Beni hatırladın mı?"
"traveler:ARSKICKER1","Go Arskickers!","Bastırın arslanlar!"
"traveler:ARSKICKER1","I give you that great banner.~","Sana şu flamayı vermiştim.~"
"traveler:ARSKICKER1","Listen, I tell my coach about this.","Dinle, koça yaşananları anlattım."
"traveler:ARSKICKER1","He get very upset.","Çok sinirlendi."
"traveler:ARSKICKER1","Say if I do not get banner back, I lose front seat on team bus.~","Flamayı geri getirmezsem otobüste önde oturamayacağımı söyledi.~"
"traveler:ARSKICKER1","All seats good, but front seat definitely best.","Tüm koltuklar güzel ama öndekiler en iyisi."
"traveler:ARSKICKER1","So I really just need banner back.","Bu yüzden flamaya ihtiyacım var."
"traveler:ARSKICKER1","What you say?","Ne dedin?"
"traveler:ARSKICKER1","Lousy fan!","Sahte hayran!"
"traveler:ARSKICKER1","Ah thanks!","Ah teşekkürler!"
"traveler:ARSKICKER1","Do not forget to root for us!","Bizi desteklemeye devam!"
"traveler:ARSKICKER1","Ah good.","Ah güzel."
"traveler:ARSKICKER1","It is more beaten up than I remember.","Biraz yıpranmış."
"traveler:ARSKICKER1","Even there is big tear here.","Şurası yırtılmış resmen."
"traveler:ARSKICKER1","What did you do?","Ne yaptın buna?"
"traveler:ARSKICKER1","Oh well. Coach should be happy.","Oh güzel. Koç çok sevinecek."
"traveler:ARSKICKER1","Alright that is great yeah.","Süper."
"traveler:ARSKICKER1","But where is banner?","Flama nerede?"
"traveler:ARSKICKER1","Thanks bud!","Teşekkürler dostum!"
"traveler:ARSKICKER1","Do not forget to root for us at regionals.","Bizi desteklemeye devam et."
"traveler:ARSKICKER1","Ok. Well.","Pekala."
"traveler:ARSKICKER1","That is messed up.","Bu hiç olmadı."
"traveler:ARSKICKER1","At least you give banner back right?","En azından flamayı versen?"
"traveler:ARSKICKER1","At least you give banner back.","En azından flamayı ver."
"traveler:ARSKICKER1","@The banner is mine now.","@Flama artık benim."
"traveler:ARSKICKER1","Oh boy.","Öf be."
"traveler:ARSKICKER1","Such an asshole here.","Şerefsiz herif."
"traveler:ARSKICKER1","If guards do not kill me, coach will.","Güvenlik öldürmezse koç öldürecek."
"traveler:BUSTED_SPY","I have not much time.","Fazla zamanım yok."
"traveler:BUSTED_SPY","You must hold on to these.","Bunları saklamalısın."
"traveler:BUSTED_SPY","Keep them safe today.","Başlarına bir şey gelmesin."
"traveler:BUSTED_SPY","I am being followed by an imposter.","Bir sahtekar tarafından takip ediliyorum."
"traveler:BUSTED_SPY","They pretend to be from the Ministry of Information but it is a lie.","Haber Alma Bakanlığındanmış gibi yapıyorlar ama bu yalan."
"traveler:BUSTED_SPY","If they ask for documents, give these instead.","Belge isterlerse bunları ver."
"traveler:BUSTED_SPY","Do not mix them up.","Sakın karıştırma."
"traveler:BUSTED_SPY_FOLLOWER","@Your papers?","@Evrakların?"
"traveler:BUSTED_SPY_FOLLOWER","I am from the Ministry of Information.","Ben Haber Alma Bakanlığından geliyorum."
"traveler:BUSTED_SPY_FOLLOWER","You have something to give us.","Sende bir emanet var."
"traveler:BUSTED_SPY_FOLLOWER","Perfect.","Mükemmel."
"traveler:GYM_INSTRUCTOR","You are skin and bones.","Bir deri bir kemiksin."
"traveler:GYM_INSTRUCTOR","Bet you have no real strength.","Güçsüz bir şeysindir."
"traveler:GYM_INSTRUCTOR","Come to gym, I make you big.","Salona gel, seni güçlendireyim."
"traveler:GYM_INSTRUCTOR","I guarantee you get big at Get Big Town.","Koca Kaslar'da kocaman kasların olacağına garanti ederim."
"traveler:GYM_INSTRUCTOR","Is what we do.","Işimiz bu."
"traveler:GYM_INSTRUCTOR","Denied? Hah.","Ret mi edildim?"
"traveler:GYM_INSTRUCTOR","This is what I expect from skinny weakling.","Sıska birinden de anca bunu beklerdim."
"traveler:OLD_INSPECTOR","I used to be an inspector like you.","Ben de senin gibi bir memurdum."
"traveler:OLD_INSPECTOR","Many years ago. Back in United Fed.~","Yıllar önce. Birleşik Fed.'da.~"
"traveler:OLD_INSPECTOR","We denied most people.~","Çoğu kişiyi reddederdik.~"
"traveler:OLD_INSPECTOR","It is all done by computers now.","Artık bilgisayarlara yaptırıyorlar."
"traveler:OLD_INSPECTOR","They can deny much faster that way.","Onlar daha hızlı reddediyor."
"traveler:OLD_INSPECTOR","Good luck.","Kolay gelsin"
"traveler:OLD_INSPECTOR","I do not miss it.","Hiç özlememişim."
"traveler:OLD_INSPECTOR","What? Why am I denied?~","Ne? Neden reddedildim?~"
"traveler:OLD_INSPECTOR","So this is what it feels like.~","Demek böyle hissettiriyormuş.~"
"traveler:OLD_INSPECTOR","@Where is entry permit?","@Giriş Izni belgen nerede?"
"traveler:OLD_INSPECTOR","Eh, it does not matter what I say.","Aman artık ne fark eder."
"traveler:OLD_INSPECTOR","Just deny the visa and I will go.","Reddet de döneyim."
"traveler:RED_STAMP","Red stamp.","Kırmızı kaşe."
"traveler:RED_STAMP","@What?","@Ne?"
"traveler:RED_STAMP","Give me red stamp.","Kırmızı kaşeyi bas."
"traveler:RED_STAMP","I am serious.","Ciddiyim."
"traveler:RED_STAMP","I have better job offer in Impor.","Impor'dan daha iyi bir iş teklifi aldım."
"traveler:RED_STAMP","Red stamp and I can break contract in Arstotzka.","Kırmızı kaşeyi basarsan Arstotzka'daki kontratı feshedebilirim."
"traveler:RED_STAMP","10 credits for you.","10 kredi veririm."
"traveler:RED_STAMP","Damn it.","Kahretsin."
"traveler:RED_STAMP","I am sure you deny people all day.","Tüm gün milleti geri çeviriyorsun."
"traveler:RED_STAMP","Why not now?","Beni niye aldın?"
"traveler:RED_STAMP","I figure something else out.","Neyse başka bir şey bulacağım."
"traveler:RED_STAMP","Ok, now I get free from this bad job.","Güzel bu iğrenç işten kurtuldum."
"traveler:RED_STAMP","Thanks.","Teşekkürler."
"traveler:NEED_SURGERY","I come for medical reasons.","Sağlık sebepleriyle geldim."
"traveler:NEED_SURGERY","@Your papers are missing.","@Evraklarınız eksik."
"traveler:NEED_SURGERY","Please.","Lütfen."
"traveler:NEED_SURGERY","Surgery I need is outlawed in Kolechia.","Ihtiyacım olan ameliyat Kolechia'da yapılmıyor."
"traveler:NEED_SURGERY","Even so, I do not trust doctors there.","Zaten oradaki doktorlara güvenmiyorum da."
"traveler:NEED_SURGERY","Only Arstotzka have skilled surgeons.","Yetenekli doktorların hepsi burada."
"traveler:NEED_SURGERY","@You do not have the right documents.","@Eksik evraklarınız var."
"traveler:NEED_SURGERY","Yes.","Evet."
"traveler:NEED_SURGERY","They will not give papers for surgery.","Ameliyat için belge vermiyorlar."
"traveler:NEED_SURGERY","Thank you. I will not forget this.","Sağolasın bunu asla unutmayacağım."
"traveler:NEED_SURGERY","I expected this.","Bunu bekliyordum."
"traveler:NEED_SURGERY","I do not know how long I survive.","Ne kadar zamanım kaldı bilmiyorum."
"traveler:NEED_SURGERY","But you do not care.~","Senin de umurunda değil.~"
"traveler:NEED_SURGERY","I hope you are not in same place as me.","Umarım benim durumuma düşmezsin."
"traveler:LOVE_SONG","I will leave this here.","Bunu şurada bırakayım."
"traveler:LOVE_SONG","Great!","Mükemmel!"
"traveler:LOVE_SONG","You really super guy!~","Çok iyi birisin!~"
"traveler:LOVE_SONG","Can I have note back now?","Kağıdı geri verir misin?"
"traveler:LOVE_SONG","I need it for next inspector.","Diğer memura da göstermeliyim."
"traveler:LOVE_SONG","But I give you such lovely note!","Ama sana çok tatlı bir not verdim!"
"traveler:LOVE_SONG","Thanks and like I say, you super guy.","Teşekkürler! Dediğim gibi süpersin."
"traveler:LOVE_SONG","Do not forget.","Bunu asla unutma."
"traveler:LOVE_SONG","Is too much?","Çok mu ileri gittim?"
"traveler:LOVE_SONG","@Yes.","@Evet."
"traveler:LOVE_SONG","Is too much. I can see that now.","Evet fark ettim."
"traveler:LOVE_SONG","Next time I make couple copies first.","Bir dahaki sefere kopyalarım."
"traveler:LOVE_SONG_LONELY","Life sucks.","Hayat çok kötü."
"traveler:LOVE_SONG_LONELY","Nobody loves me.","Kimse beni sevmiyor."
"traveler:LOVE_SONG_LONELY","For me?","Benim için mi?"
"traveler:LOVE_SONG_LONELY","Like fire?","Ateş gibi mi?"
"traveler:LOVE_SONG_LONELY","Object of desire?","Arzu nesnesi mi?"
"traveler:LOVE_SONG_LONELY","Wow, nobody say such nice things!","Daha önce kimse böyle şeyler dememişti!"
"traveler:LOVE_SONG_LONELY","Part about visa is confusing but rest is very powerful.","Vize bölümü biraz kafamı karıştırdı ama kalanı çok hoş."
"traveler:LOVE_SONG_LONELY","Thank you!","Teşekkür ederim!"
"traveler:LOVE_SONG_LONELY","Thank you again!","Tekrar teşekkürler!"
"traveler:LOVE_SONG_LONELY","Thanks I guess.","Sanırım teşekkürü hakettin."
"traveler:LOVE_SONG_LONELY","No problem!","Hiç problem değil!"
"traveler:LOVE_SONG_LONELY","Today is good day anyway!","Yine de bugün güzel bir gün!"
"traveler:LOVE_SONG_LONELY","Even you hate me.","Benden nefret ediyor olsan da."
"traveler:LOVE_SONG_LONELY","Some guy I do not even know.","Tanımadığım adamın biri."
"traveler:KOLECHIAN_HATER","It was a mistake to open this checkpoint.","Bu sınırın açılması bir hataydı."
"traveler:FINALLY_RETURN_HOME","Finally I can return home.","Sonunda eve dönebilirim."
"traveler:FINALLY_RETURN_HOME","You bastard.","Şerefsiz herif."
"traveler:FINALLY_RETURN_HOME","Thank you.","Teşekkürler."
"traveler:SMALL_CHECKPOINT","This checkpoint is smaller than I expected.","Burası tahmin ettiğimden küçükmüş."
"traveler:WAITED_FOREVER","I have waited in this damn line since for 8 hours.","8 saattir sırada bekliyorum."
"traveler:WAITED_FOREVER","I hope it was worth it.","Umarım beklediğime değer."
"traveler:WAITED_FOREVER","Unbelievable. Go to hell.","Inanılamaz. Cehenneme kadar yolun var."
"traveler:HURRY_UP","Hurry up.","Acele et."
"traveler:HURRY_UP","I am meeting bus soon.","Otobüse yetişmem lazım."
"traveler:HURRY_UP","What is this?","Bu da ne?"
"traveler:HURRY_UP","Finally.","Sonunda."
"traveler:GLAD_YOU_HAVE_JOB","I heard about terrorist attack.","Terörist saldırısını duydum."
"traveler:GLAD_YOU_HAVE_JOB","You are lucky to have a job still.","Hala işin olduğu için şanslısın."
"traveler:GLAD_YOU_HAVE_JOB","Be safe.","Kendine dikkat et."
"traveler:TICKET_NOT_PERMIT","What? I do not know. To visit?","Ne? Bilmem, turistik?"
"traveler:TICKET_NOT_PERMIT","A few days maybe.","Birkaç gün herhalde."
"traveler:TICKET_NOT_PERMIT","Entry permit? I have ticket here.","Giriş izni mi? Biletim var."
"traveler:TICKET_NOT_PERMIT","Let me through.","Bırak geçeyim."
"traveler:TICKET_NOT_PERMIT","@Ticket is not enough any more.","@Bilet artık yeterli değil."
"traveler:TICKET_NOT_PERMIT","@Get a permit.","@Yeni belgeyi almalısınız."
"traveler:TICKET_NOT_PERMIT","Bullshit!","Saçmalık!"
"traveler:TICKET_NOT_PERMIT","I paid good money for ticket.","Bilete bir sürü para bayıldım."
"traveler:VISIT_SON","I am so happy that the border has opened.","Sınır açıldığı için çok mutluyum."
"traveler:VISIT_SON","I will visit my son. I have not seen him in six years. [Speech/Purpose]","Oğlumu ziyaret edeceğim. 6 yıldır görmüyorum. [Speech/Purpose]"
"traveler:VISIT_SON","6 months. [Speech/Duration]","6 ay. [Speech/Duration]"
"traveler:VISIT_SON","Please, let me pass. My son is waiting.","Izin ver geçeyim oğlum beni bekliyor."
"traveler:VISIT_SON","Thank you.","Teşekkür ederim."
"traveler:VISIT_SON","Curse you.","Allah belanı versin."
"traveler:DETAIN_FIRST","Hey wait.","Hey bekle."
"traveler:DETAIN_FIRST","Do not arrest me, please.","Beni tutuklamayın lütfen."
"traveler:DETAIN_FIRST","Just deny my passport and I will go away.","Ret kaşesini bas da gideyim."
"traveler:HATE_COUNTRY","It is not my choice. I hate this damn country.","Meraklısı değilim. Bu ülkeden nefret ediyorum."
"traveler:HATE_COUNTRY","I am just passing through. [Speech/Purpose]","Sadece geçeceğim. [Speech/Purpose]"
"traveler:HATE_COUNTRY","As little as possible. 2 days. [Speech/Duration]","Mümkün olduğunca az, 2 gün. [Speech/Duration]"
"traveler:HATE_COUNTRY","Ugh.","Ehh."
"traveler:HATE_COUNTRY","Just as well.","Neyse ne."
"traveler:SEARCH_BRIBE_INTRO","Slow down my friend.","Ağır ol dostum."
"traveler:SEARCH_BRIBE_INTRO","I have only harmless medicine.","Sadece zararsız bir ilaç."
"traveler:SEARCH_BRIBE_INTRO","I give you 10 credits to let me through.","Geçmeme izi verirsen 10 kredi."
"traveler:SEARCH_BRIBE_INTRO","Excellent.","Mükemmel."
"traveler:SEARCH_BRIBE_INTRO","As I promised.","Söz verdiğim gibi."
"traveler:SEARCH_BRIBE_INTRO","Why you turn down good money?","Parayı neden almadın?"
"traveler:SEARCH_BRIBE_INTRO","@You are lucky to escape arrest.","@Kaçabildiğin için şanslısın."
"traveler:SEARCH_BRIBE_INTRO","@Do not come back.","@Sakın geri dönme."
"traveler:SEARCH_BRIBE_INTRO","@You cannot bribe an officer of Arstotzka.","@Arstotzka memuruna rüşvet teklif edemezsin."
"traveler:SEARCH_BRIBE_INTRO","They must pay well for such obedience, dog.","Emirlere itaat ettiğine göre iyi para veriyorlar."
"traveler:TWO_PASSPORTS","Shit!","Hassiktir!"
"traveler:TWO_PASSPORTS","I make small mistake.","Hata yaptım."
"traveler:TWO_PASSPORTS","Please give documents back.","Lütfen belgeleri geri ver."
"traveler:TWO_PASSPORTS","@Why do you have two passports?","@Neden iki pasaportun var?"
"traveler:TWO_PASSPORTS","Is funny story.","Komik bir hikayesi var."
"traveler:TWO_PASSPORTS","I tell you everything.","Hepsini anlatırım."
"traveler:TWO_PASSPORTS","First, you give papers back to me.","Ama önce belgeleri geri ver."
"traveler:TWO_PASSPORTS","And the others?","Kalanlar nerede?"
"traveler:TWO_PASSPORTS","Last one please.","Sonuncusu da lütfen."
"traveler:IDSUPPLEMENT_COMPLAIN","This id supplement is total pain.","Bu ek bilgi olayını almak çok zordu."
"traveler:IDSUPPLEMENT_COMPLAIN","Was not easy to get and only lasts few days.","Almak için çok uğraştım bir de süresi kısa."
"traveler:IDSUPPLEMENT_COMPLAIN","You Arstotzkans just make it harder and harder.","Siz Arstotzkalılar anca işi yokuşa sürün."
"traveler:IDSUPPLEMENT_COMPLAIN","Why even have open border?","Sınırı neden açtınız ki?"
"traveler:IDSUPPLEMENT_COMPLAIN","Bah.","Ehh."
"traveler:IDSUPPLEMENT_COMPLAIN","Would be better to spend money on bribe.","Rüşvet versem daha iyi olurdu."
"traveler:IDSUPPLEMENT_COMPLAIN","Less trouble and faster.","Hem daha az uğraş hem de işim hemen görülürdü."
"traveler:IDSUPPLEMENT_COMPLAIN","I knew it would not even work.","Işe yaramayacağından emindim."
"traveler:CRIMINAL_FIRST","@Funny to see you here.","@Seni burada görmek çok ilginç."
"traveler:CRIMINAL_FIRST","@Just when starting to look for criminals.","@Tam da suçluları aramaya başladığımız bu günde."
"traveler:CRIMINAL_FIRST","Criminals?","Suçlular mı?"
"traveler:CRIMINAL_FIRST","What are you saying?","Sen neyden bahsediyorsun?"
"traveler:DENIAL_REASON_FIRST","Denied?","Ret mi?"
"traveler:DENIAL_REASON_FIRST","For what reason?","Hangi sebeple?"
"traveler:DENIAL_REASON_FIRST","@It is clearly stamped there.","@Sebebi de kaşelendi."
"traveler:DENIAL_REASON_FIRST","Oh.~","Oh.~"
"traveler:DENIAL_REASON_FIRST","Screw you anyways.","Cehenneme git."
"traveler:NO_IMPORIANS_FIRST","@Imporians are prohibited from entering.","@Imporialıların girmesi yasak."
"traveler:NO_IMPORIANS_DAY","@Imporians are prohibited from entering.","@Imporialıların girmesi yasak."
"traveler:NO_UNITEDFED_FIRST","@Do not bring your sickness to Arstotzka.","@Arstotzka'ya hastalık getiremezsin."
"traveler:NO_UNITEDFED_FIRST","What?","Ne?"
"traveler:NO_UNITEDFED_FIRST","I am perfectly healthy.","Ben gayet sağlıklıyım."
"traveler:NO_UNITEDFED_FIRST","It is so easy to deny entry.","Ret basmak kolay tabii."
"traveler:NO_UNITEDFED_FIRST","All this paperwork is wasted.","Bütün bu evrak işleri boşa gitti."
"traveler:NO_UNITEDFED","@Do not bring your sickness to Arstotzka.","@Arstotzka'ya hastalık getiremezsin."
"traveler:NO_UNITEDFED","What?","Ne?"
"traveler:NO_UNITEDFED","I am perfectly healthy.","Ben gayet sağlıklıyım."
"traveler:NO_UNITEDFED","It is so easy to deny entry.","Ret basmak kolay tabii."
"traveler:NO_UNITEDFED","All this paperwork is wasted.","Bütün bu evrak işleri boşa gitti."
"traveler:CONFISCATION_DISTRICT_FIRST","Thank you. It is good to be back home.","Teşekkürler. Eve dönmek müthiş."
"traveler:CONFISCATION_DISTRICT_FIRST","I am leaving for trip soon so I just need my passport back.","Yakında yolculuğa devam edeceğim bu yüzden pasaportumu almalıyım."
"traveler:CONFISCATION_DISTRICT_FIRST","@It is being confiscated.","@Müşadere altına alındı."
"traveler:CONFISCATION_DISTRICT_FIRST","What do you mean?","O da ne demek?"
"traveler:CONFISCATION_DISTRICT_FIRST","@Contact number on slip for recovery.","@Geri almak için kağıttaki numarayı arayın."
"traveler:CONFISCATION_DISTRICT_FIRST","You can just hand it back.","Versen olmaz mı."
"traveler:CONFISCATION_DISTRICT_FIRST","@It has been filed. I cannot give it back.","@Belge mühürlendi, artık geri veremem."
"traveler:CONFISCATION_DISTRICT_FIRST","I am not leaving without passport.","Pasaportum olmadan geri dönmüyorum."
"traveler:CONFISCATION_DISTRICT_FIRST","Where is my passport?","Pasaportum nerede?"
"traveler:CONFISCATION_DISTRICT_FIRST","You deny entry and take passport?","Hem geçmeme izin vermiyorsun hem de pasaportumu mu aldın?"
"traveler:CONFISCATION_DISTRICT_FIRST","What am I supposed to do?","Şimdi ben ne yapacağım?"
"traveler:CONFISCATION_DISTRICT_FIRST","@Contact number on slip.","@Kağıttaki numarayı arayın."
"traveler:CONFISCATION_DISTRICT_FIRST","You cannot do this to me!","Bunu bana yapamazsın!"
"traveler:CONFISCATION_DISTRICT_FIRST","I am Arstotzkan citizen.","Ben Arstotzka vatandaşıyım."
"traveler:CONFISCATION_DISTRICT_FIRST","I have right to travel freely.","Serbestçe gezme hakkım var."
"traveler:WHISTLEBLOWER","Thank you.","Teşekkür ederim."
"traveler:WHISTLEBLOWER","I hope that things are better here.","Umarım burada her şey daha iyi olur."
"traveler:WHISTLEBLOWER","What? I was promised asylum here.","Ne? Iltica hakkım vardı."
"traveler:WHISTLEBLOWER","I have nowhere else to go.","Gidecek başka yerim yok."
"traveler:WHISTLEBLOWER","@This is not my problem.","@Umurumda değil."
"traveler:ACCESSPERMIT_FIRST","You Arstotzkans keep changing rules here.","Siz de sürekli kuralları değiştiriyorsunuz."
"traveler:ACCESSPERMIT_FIRST","My sister came through last week with different documents.","Geçen hafta kız kardeşim başka evraklarla geçti."
"traveler:ACCESSPERMIT_FIRST","Now I need new access permit.","Şimdi başka evrak almalıyım."
"traveler:ACCESSPERMIT_FIRST","Costs twice as much as before.","Fiyatı da iki katı."
"traveler:ACCESSPERMIT_WRONG","What the hell is access permit?","Erişim izni belgesi de ne?"
"traveler:ACCESSPERMIT_WRONG","Do you mean entry permit?","Giriş izni mi demek istedin?"
"traveler:ACCESSPERMIT_WRONG","I have it there.","Al işte burada."
"traveler:ACCESSPERMIT_WRONG","@I mean access permit.","@Erişim izni dedim."
"traveler:ACCESSPERMIT_WRONG","Never heard of it. Sounds stupid.","Hiç duymadım. Kulağa çok saçma geliyor."
"traveler:ACCESSPERMIT_WRONG","@Entry permit and supplement are no longer accepted.","@Giriş izni ve ek kimlik artık geçerli değil."
"traveler:ACCESSPERMIT_WRONG","@Access permit replaces them.","@Onların yerini Erişim izni aldı."
"traveler:ACCESSPERMIT_WRONG","@Makes my job easier.","@Işim kolaylaştı."
"traveler:ACCESSPERMIT_WRONG","I do not care about your job.","Işin umurumda değil."
"traveler:ACCESSPERMIT_WRONG","Damnit.","Kahretsin."
"traveler:STRICT_BORDER","I've heard this is very strict checkpoint.","Duyduğuma göre bu sınır çok sıkıymış."
"traveler:STRICT_BORDER","I am glad my papers are in order.","Neyse ki tüm belgelerim tam."
"traveler:DESPERATE_BEFORECLOSE","I have heard the border will close.","Duyduğuma göre bu sınır kapatılacak."
"traveler:DESPERATE_BEFORECLOSE","My access permit will not arrive in time.","Erişim iznim zamanında çıkmayacak."
"traveler:DESPERATE_BEFORECLOSE","Please have mercy.","Sizden merhamet diliyorum."
"traveler:DESPERATE_BEFORECLOSE","Yes I know. I just told you that.","Evet biliyorum, şimdi dedim."
"traveler:DESPERATE_BEFORECLOSE","I am afraid the border will close before I can enter.","Korkarım ki ben girmeden sınır kapanacak."
"traveler:WALLCOMMENT_PLAQUEONE","What is this plaque on the wall?","Duvardaki plaket de ne?"
"traveler:WALLCOMMENT_PLAQUEONE","You are recognized for presence?","Onur belgen mi var?"
"traveler:WALLCOMMENT_PLAQUEONE","Way to go.","Tebrikler."
"traveler:WALLCOMMENT_PLAQUEONE","What is this on the wall?","Bu duvardaki de ne?"
"traveler:WALLCOMMENT_PLAQUEONE","Recognized for sufficience?","Elverişlilik ha?"
"traveler:WALLCOMMENT_PLAQUEONE","Impressive. Why even bother with plaque?","Ilginç, neden sadece plaket yapmışlar ki?"
"traveler:WALLCOMMENT_PLAQUEONE","You are recognized for excellence?","Seçkinlik ha?"
"traveler:WALLCOMMENT_PLAQUEONE","I hope they give you raise and not just plaque.","Umarım plaket dışında maaşına zam da yapılır."
"traveler:WALLCOMMENT_PLAQUEONE","Find a better plaque.","Daha iyisini almalısın."
"traveler:WALLCOMMENT_PLAQUEONE","This one looks like cheap shit.","Bu çok dandik duruyor."
"traveler:WALLCOMMENT_PLAQUEONE","Figures.","Boş iş."
"traveler:WALLCOMMENT_PLAQUEONE","You are like this plaque.","Sen de bu plaket gibisin."
"traveler:WALLCOMMENT_PLAQUEONE","Cheap shit.","Boktan ve ucuz."
"traveler:WALLCOMMENT_PLAQUEONE","What the hell?","Bu da ne be?"
"traveler:WALLCOMMENT_ARSKICKER","Nice banner!","Flama güzelmiş!"
"traveler:WALLCOMMENT_ARSKICKER","I remember that game.","O maçı hatırlıyorum."
"traveler:WALLCOMMENT_ARSKICKER","Intense.","Çok heyecanlıydı."
"traveler:WALLCOMMENT_ARSKICKER","Go Arskickers!","Bastırın Arslanlar!"
"traveler:WALLCOMMENT_ARSKICKER","What the hell?","Hassiktir, ne?"
"traveler:WALLCOMMENT_ARSKICKER","I thought we have Arskickers connection.","Takım ruhumuz var sanmıştım."
"traveler:WALLCOMMENT_SONDRAWING","What is this drawing on the wall?","Bu duvardaki çizim de ne?"
"traveler:WALLCOMMENT_SONDRAWING","My dog can do better.","Köpeğim bile daha iyisini çizer."
"traveler:WALLCOMMENT_SONDRAWING","@It is from my son.","@Oğlumun hediyesi."
"traveler:WALLCOMMENT_SONDRAWING","Oh.~","Ah.~"
"traveler:WALLCOMMENT_SONDRAWING","Maybe he should try sports.","Sporu denese daha iyi olabilir."
"traveler:WALLCOMMENT_SONDRAWING","Thanks.","Teşekkürler."
"traveler:WALLCOMMENT_SONDRAWING","The drawing is not so bad really.","Aslında çok da kötü bir çizim değil."
"traveler:WALLCOMMENT_SONDRAWING","I was just in rough mood. Sorry.","Iyi günümde değilim. Özür dilerim."
"traveler:WALLCOMMENT_SONDRAWING","Huh?","Ne?"
"traveler:WALLCOMMENT_SONDRAWING","You deny me for comment about drawing, right?","Resim hakkındaki yorumum yüzünden reddettin değil mi?"
"traveler:WALLCOMMENT_SONDRAWING","@The exit is to your right.","@Çıkış sağında."
"traveler:WALLCOMMENT_SONDRAWING","What are you doing?","Ne yapıyorsun?"
"traveler:WALLCOMMENT_SONDRAWING","Is this because I make fun of drawing?","Sırf resimle dalga geçtim diye mi?"
"traveler:WALLCOMMENT_SONDRAWING","I take it back!","Sözümü geri alıyorum!"
"traveler:WALLCOMMENT_SONDRAWING","Picture should be in museum!","Müzelik bir eser!"
"traveler:WALLCOMMENT_FAMILYPHOTO","I like picture on wall here.","Duvardaki resmi sevdim."
"traveler:WALLCOMMENT_FAMILYPHOTO","Reminds me of how my family was.","Bana ailemi hatırlattı."
"traveler:WALLCOMMENT_FAMILYPHOTO","Thank you.","Teşekkür ederim."
"traveler:WALLCOMMENT_FAMILYPHOTO","Take care of your family.","Ailene iyi bak."
"traveler:WALLCOMMENT_FAMILYPHOTO","It is too easy to lose them.","Onları kaybetmek çok kolay."
"speech:ask-purpose","What is the purpose of your trip?","Seyahatinizin amacı nedir?"
"speech:state-purpose","Visiting.","Turistik."
"speech:state-purpose","Just visiting.","Sadece gezi amaçlı."
"speech:state-purpose","I am visiting relatives.","Akrabalarımı ziyaret edeceğim."
"speech:state-purpose","Visiting friends.","Arkadaşlarımı ziyarete geldim."
"speech:state-purpose","I come for visit.","Gezmeye geldim."
"speech:state-purpose","Only to visit.","Sadece gezeceğim."
"speech:state-purpose","I will visit friends.","Arkadaşlarımı görmeye."
"speech:state-purpose","Transit.","Transit geçiş."
"speech:state-purpose","I pass through.","Sadece geçiyorum."
"speech:state-purpose","Transit through the country.","Transit geçiş yapıyorum."
"speech:state-purpose","I am transiting to elsewhere.","Başka ülkeye transit geçiş yapıyorum."
"speech:state-purpose","Transit through Arstotzka.","Arstotzka'dan transit geçiş."
"speech:state-purpose","Passing through.","Sadece buradan geçeceğim."
"speech:state-purpose","I am in transit.","Geçiş amaçlı."
"speech:state-purpose","Work.","Çalışma."
"speech:state-purpose","I come to work.","Çalışmaya geldim."
